," 2"," 3"," 4"," 5"
WHIPSNAKES(8) vs ARCHERS(11),8/25/2019,10,Tom & Mary Casey Stadium,Albany
REDWOODS(18) vs CHROME(7),8/25/2019,10,Tom & Mary Casey Stadium,Albany
ATLAS(12) vs CHAOS(9),8/24/2019,10,Tom & Mary Casey Stadium,Albany
WHIPSNAKES(17) vs REDWOODS(4),8/18/2019,9,Tim Hortons Field,Hamilton
CHROME(14) vs ATLAS(17),8/17/2019,9,Tim Hortons Field,Hamilton
CHAOS(11) vs ARCHERS(10),8/17/2019,9,Tim Hortons Field,Hamilton
ARCHERS(15) vs ATLAS(11),8/11/2019,8,Avaya Stadium,San Jose
CHROME(20) vs WHIPSNAKES(16),8/10/2019,8,Avaya Stadium,San Jose
REDWOODS(10) vs CHAOS(13),8/10/2019,8,Avaya Stadium,San Jose
ARCHERS(9) vs CHROME(7),7/28/2019,7,Dick’s Sporting Goods Park,Denver
CHAOS(13) vs WHIPSNAKES(12),7/27/2019,7,Dick’s Sporting Goods Park,Denver
ATLAS(18) vs REDWOODS(15),7/27/2019,7,Dick’s Sporting Goods Park,Denver
RAMBO(16) vs BAPTISTE(17),7/21/2019,-,Banc of California Stadium,Los Angeles
CHROME(19) vs CHAOS(11),7/7/2019,6,Audi Field,Washington
ATLAS(9) vs WHIPSNAKES(11),7/6/2019,6,Audi Field,Washington
ARCHERS(8) vs REDWOODS(9),7/6/2019,6,Audi Field,Washington
REDWOODS(14) vs WHIPSNAKES(11),6/29/2019,5,Georgia State Stadium,Atlanta
CHAOS(15) vs CHROME(14),6/29/2019,5,Georgia State Stadium,Atlanta
ATLAS(13) vs ARCHERS(12),6/28/2019,5,Georgia State Stadium,Atlanta
ARCHERS(13) vs CHAOS(14),6/23/2019,4,Homewood Field,Baltimore
WHIPSNAKES(15) vs ATLAS(10),6/22/2019,4,Homewood Field,Baltimore
CHROME(11) vs REDWOODS(13),6/22/2019,4,Homewood Field,Baltimore
CHROME(12) vs ATLAS(13),6/16/2019,3,SeatGeek Stadium,Chicago
ARCHERS(10) vs WHIPSNAKES(11),6/15/2019,3,SeatGeek Stadium,Chicago
CHAOS(12) vs REDWOODS(11),6/15/2019,3,SeatGeek Stadium,Chicago
CHAOS(18) vs ATLAS(13),6/9/2019,2,Red Bull Arena,New York
REDWOODS(9) vs ARCHERS(10),6/8/2019,2,Red Bull Arena,New York
WHIPSNAKES(12) vs CHROME(11),6/8/2019,2,Red Bull Arena,New York
REDWOODS(11) vs ATLAS(9),6/2/2019,1,Gillette Stadium,Boston
CHAOS(14) vs WHIPSNAKES(15),6/1/2019,1,Gillette Stadium,Boston
CHROME(12) vs ARCHERS(13),6/1/2019,1,Gillette Stadium,Boston